movie_id,source,author,rating,text,review_date,helpful_count,not_helpful_count,word_count,sentiment_score,sentiment_label,sentiment_confidence,review_category
3,imdb,fciocca,6.0,"6 / 10 A sick movie, plenty of explicit violence. An interesting production for horror fans. ""The Sadness"" is one of the most violent and sickest films that I watched in 2023. The setup is interesting and the ""zombies"" are not the usual mindless and slow monsters roaming around. They are really dangerous because the virus does not inhibit their brain and it actually strengthens their violence. Moreover, the makeup was top notch and they looked truly scary. I liked the fact that there was some kind of villain that was chasing down one of the main characters. The danger felt closer and more personal and it added a captivating layer to the story. However, the script is pretty basic and plot wise there is really nothing peculiar. The acting was just okay and none of the performances could really grab my attention. The dialogues are lazy and after a while it just gets boring hearing vulgarities from these monsters. I mean, I get it, whoever is infected becomes extremely depraved; there is no need to reiterate the concept for one hour and a half. I have watched many incredibly twisted scenes in my life, but in this specific case there were some things that were really difficult to stand. For sure it is not a film for families or for people with a weak stomach. The practical effects are well done and the attack scenes are directed competently. I believe that this film will make happy body horror fans. My final mark is in line with the average: 6.5 stars out of 10.",2023-08-28,0,0,264,-0.9633,negative,0.748,
3,imdb,heretic369,6.0,"6 / 10 ""The crossed"" in asian version What is the human without constraints? A monster.. In ""the sadness"" a virus mutation transforms the infected! - this has nothing to do with zombies, nothing at all - into such unregulated creatures. For fans of ""the crossed"" from Garth Ennis, this will be quite known territory. Although where Crossed can show this happening at a broader scale ""the sadness"" always seems quite limited. Even though there are a few nice Splatter scenes and especially the beginning is quite atmospheric, the more the movie nears it´s -predictable- ending, the less is actually happening. Six points for the bravery to actually try this kind of stuff. Could have been much better though.",2022-02-03,0,0,119,-0.3788,negative,0.846,
3,imdb,danieltucher,6.0,"6 / 10 Extreme The Sadness is pretty much what I expected (and hoped for) judging from the trailers. A completely bonkers and hyper violent & disturbing movie that is an intense viewing experience. While there are some attempts at social commentary, there is not much besides the mayhem and gore going on - but I think most people will be fine with that.",2021-08-31,0,0,64,-0.3047,negative,0.813,
3,imdb,sebvelez15,,"One of the most nihilistic movies I've seen. After a slow introduction, this film soon becomes one of the most nightmarish horror experiences and you will surely be left with the most bitter taste ever. Up to you whether this is a bad or good thing!",2022-04-15,0,0,46,-0.7239,negative,0.711,
3,imdb,Arshia_mostafavi,7.0,"7 / 10 ""An Extremity That Justifies Itself"" Yes, this is exactly the best way to describe it. I don't know if the director intentionally aimed to weave deep psychological themes into the film, or if it was just to make a name. But I do know that the film carries a heavy tension between ethics and human desire throughout. It's a film with little unnecessary dialogue-almost 90% of the conversations have meaning, delivering the film's core message. In the most colloquial terms, the film's theme can be summed up as: ""They're aware, but the pleasure feels inevitable-as if you're telling them not to blink."" A film that reflects the endlessness of human desire. A film that acts like a warning. A film that says the only thing keeping us from total collapse is that thin thread of awareness about ethics. One of the most interesting and heartbreaking aspects is that it's not a virus that turns you into someone else, or a zombie, or anything like that. It's still you-completely you-who transforms from a victim into a full-blown maniac with no boundaries or rules. And in the final scene, where the director builds the story's climax in the very last moments, when even the protagonist is not spared from the madness, and the tears and pain turn into tears of twisted pleasure- you hope for a happy ending, but the director keeps you suspended in a surreal state at every moment- a surrealism rooted in realism.",2025-04-28,0,0,247,0.027,neutral,0.73,
3,imdb,JayDeeezy,6.0,"6 / 10 Pseudo-allegory This is a hot one right now. It promises violence and definitely delivers on that front. Some, however, are praising it for its commentary on the COVID pandemic but I found its messages to be pretty thin. I think there was potential for a profound allegory but it merely toys at one here and there and then remembers what it is - a nihilistic gorefest. I will say it has great production value and some very memorable shots. It will appease the twisted side of the hardcore horror fan - it superficially prioritizes shock value and I suppose it's worth a viewing out of pure curiosity. In the end though, I didn't find it to be too special in the grand scheme of zombie/Crazies-type films.",2022-05-20,0,0,129,0.9765,positive,0.701,
3,imdb,matthewwallace-93374,7.0,"7 / 10 The closest movie adaptation of crossed and I loved it This is your classic shock horror film thats disturbing to the average movie buff, straight off the bat my first though was the comic series 'crossed', however crossed is way extreme, the sadness is like a watered down movie adaptation, the gore, the sadistic acts this infection causes its hosts is comically over the top but not to a point where its too much, the subway scene not long into the film gives you just a taste for what you are getting yourself into. Blood, gore, vulgar language and eye gouging. I really liked this one. In saying if you cant stomach it do not read the crossed comics.",2022-04-13,0,0,122,0.4215,positive,0.852,
3,imdb,paul_m_haakonsen,6.0,"6 / 10 Gory and brutal, but not an outstanding horror movie... Now I read somewhere online that someone had written something in the likes of ""if you're just going to watch one zombie movie this year, make it this one"". And that made me actually take notice of the 2021 Taiwanese horror movie ""Ku Bei"" (aka ""The Sadness""). I had initially skipped it back in 2021, and then sought it out here in 2022, as I read that praise of the movie. So it was with some expectation that I sat down to watch what writer and director Rob Jabbaz had to offer with ""Ku Bei"". And I will say that it was watchable, for sure, but it just wasn't all that fantastic or outstanding. And the ""if you're just going to watch..."" sentence hardly rang true for ""Ku Bei"". As a matter of fact, then ""Ku Bei"" felt like a Taiwanese tribute to the 2002 movie ""28 Days Later"", as there were massive similarities. And as for ""Ku Bei"" being a zombie movie. No. It is not a zombie movie. Very much similar to ""28 Days Later"", ""Ku Bei"" is a movie about people getting affected with some sickness that makes them into raging lunatics that also have cannibalistic and sexual deviant tendencies. I wasn't familiar with the cast ensemble in the movie, but then again I am not well-traversed in the Taiwanese cinema. The good part about ""Ku Bei"" was the gore and mayhem. This movie was bloody, so very, very bloody. In fact, at times it was just too much. There was a scene where there literally was a fountain of blood spraying from the neck of someone. I have to say that I was good and ready to turn the movie off at that time, because it was just infantile stupid. But I opted to stick with the movie and give writer and director Rob Jabbaz a proper chance. The effects in ""Ku Bei"" were good. There was a ton of blood and gore, which I enjoyed. And I have to say that the effects looked realistic, and it added a lot of enjoyment to the movie. So thumbs up to the special effects department for this accomplishment. ""Ku Bei"" is watchable, as I mentioned earlier, but it is by no means a revolutionary movie in the horror genre. Sure, I enjoyed the mayhem, gore and visceral brutality in the movie. I am a life-long gorehound after all. However, I doubt that I will ever return to watch ""Ku Bei"" a second time, simply as the storyline just doesn't have enough depth or contents to support a second viewing. Personally, I think the whole sexual deviant aspect to the infection in the movie was unnecessary, and it just added a level of sleaze to the movie that held it back somewhat. And there were some scenes in the movie that also were unnecessary to include on that account. But hey, a matter of personal preference, I suppose. But if you are a true hentai - go for it. My rating of ""Ku Bei"" lands on a six out of ten stars.",2022-05-21,0,0,526,0.3941,positive,0.77,
3,imdb,Pairic,8.0,8 / 10 Extreme Horror,2021-10-24,0,0,5,-0.6115,negative,0.5,
3,imdb,H1DEK1,6.0,"6 / 10 Amazing gore but weak on script The introductory part of the film is weak and not enough information is given to us to get to know the characters. Things are happening fast. There are problems with the script in general, and there are also some problems with the flow of the film. There are several unexplained parts in the film. How does one of them spread the virus?.. The make-up is quite successful, but when gore is used a lot, it doesn't seem very disturbing and impressive to the viewer after a while. The acting of the leading girl and the boy is not good enough and they cannot come to the fore. The pervert on the subway is the most prominent character in my opinion. In general, it's a movie that can be called good, but it didn't meet my expectations, I was expecting something different.",2022-05-01,0,0,150,0.3907,positive,0.749,
